 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm),label
3.7900925,3.22,-0.99,9.88,0.02,-0.44,0.15,-0.07,0.43,64.31,2442,good
3.7900925,2.14,0.69,10.05,0.03,-0.01,0.09,0.17,0.87,64.71,2450.5,good
3.7900925,2.79,-0.35,11.61,0.07,0,0.29,-0.01,0.86,63.92,2450.5,good
3.7900925,1.56,0.96,9.89,0.08,0.04,0.28,0.03,0.9,63.92,2456.5,good
3.7900925,2.36,-0.4,9.4,0.01,0.04,0.28,0.03,0.9,62.35,2456,good
3.7900925,1.59,0.22,9.3,0.03,-0.01,0.23,0.04,0.86,41.18,2456,good
3.7900925,1.85,-0.11,10.7,0.02,0.01,0.28,0.05,0.87,21.57,2463.5,good
3.7900925,1.82,0,9.54,0.01,0.01,0.19,-0.02,0.89,18.04,2463.5,good
3.7900925,1.94,-0.62,10.19,0.04,0.05,0.17,0,0.93,16.86,2426,good
3.7900925,1.84,-0.17,10.19,0.04,-0.01,0.18,-0.04,0.87,16.08,2464,good
3.7900925,1.97,0.01,10.18,0.04,-0.04,0.19,-0.03,0.84,29.8,2464,good
3.7900925,2.15,-0.19,9.8,-0.01,-0.04,0.19,-0.03,0.84,49.41,2500,good
3.7900925,2.12,0.4,9.4,0.01,-0.03,0.23,-0.02,0.85,54.9,2500,good
3.7900925,1.76,0.58,9.01,-0.01,-0.11,0.21,-0.01,0.77,57.25,2431,good
3.7900925,2.38,0.4,8.92,-0.04,-0.03,0.25,-0.04,0.84,58.82,2431,good
3.7900925,2.45,-0.07,10.1,0.03,0.09,0.24,0.04,0.96,59.61,2445.5,good
3.7900925,2.45,0.33,9.66,0.05,0.03,0.28,-0.05,0.89,61.96,2451.5,good
3.7900925,2.37,0.57,10.18,0.05,0.04,0.29,-0.06,0.9,62.75,2451.5,good
3.7900925,2.41,0.17,9.64,-0.03,-0.04,0.25,0.05,0.83,63.53,2455.5,good
3.7900925,2.4,0.2,8.99,-0.01,-0.04,0.25,0.05,0.83,63.53,2455.5,good
3.7900925,2,0.21,9.43,0,0.03,0.26,0.06,0.89,63.53,2471.5,good
3.7900925,2.37,0.42,10.05,0.07,0.03,0.26,0.06,0.89,63.53,2469.5,good
3.7900925,2.19,0.52,10.4,0.06,0.02,0.26,0.07,0.88,63.92,2469.5,good
3.7900925,2.21,0.63,10.08,0.06,0.04,0.26,0.01,0.91,64.71,2483,good
3.7900925,2.37,0.36,10.11,0.06,0.08,0.26,0.03,0.94,64.71,2483,good
3.7900925,1.74,0.68,8.52,-0.09,-0.06,0.24,0.03,0.81,65.1,2484,good
3.7900925,1.69,0.77,9.84,-0.03,-0.03,0.2,0.05,0.85,61.96,2484,good
3.7900925,2.23,0.39,10.67,0.01,0.04,0.23,0.08,0.91,41.57,2488.5,good
3.7900925,2.23,0,10.63,0.14,0.1,0.25,0.06,0.97,43.14,2492,good
3.7900925,1.85,0.77,10.37,0.12,0.1,0.25,0.06,0.97,47.06,2492,good
3.7900925,2.35,0.42,10.55,0.11,0.06,0.26,0,0.92,47.06,2509,good
3.7900925,1.65,-1.35,5.63,-0.37,0.14,0.27,0.03,1.01,49.41,2509,good
3.7900925,2.62,0.27,9.3,-0.07,0.07,0.24,0.12,0.93,50.2,2487,good
3.7900925,1.54,1.16,9.1,-0.05,-0.16,0.15,-0.07,0.72,46.67,2505.5,good
3.7900925,1.72,0.49,10.3,-0.03,0.06,0.23,-0.05,0.94,45.1,2505.5,good
3.7900925,2.44,-0.16,10.19,0.09,0.14,0.23,0.05,1.02,38.04,2492,good
3.7900925,2,0.32,9.2,0.04,0.14,0.23,0.05,1.02,31.76,2492,good
3.7900925,1.73,0,8.75,0.02,0,0.17,0,0.89,21.57,2500,good
3.7900925,1.23,-0.07,9.55,0,0.06,0.16,0.03,0.94,18.43,2500,good
3.7900925,1.55,0.2,10.42,0.03,-0.01,0.14,0.01,0.88,17.25,2480.5,good
3.7900925,1.71,0.21,10.72,0.05,0.01,0.14,-0.06,0.9,17.25,2476,good
3.7900925,1.39,-0.3,9.51,0,0.07,0.17,0.01,0.96,18.43,2476,good
3.7900925,1.2,-0.01,8.8,-0.01,-0.05,0.16,0,0.84,20,2489.5,good
3.7900925,1.18,0.52,9.99,0.02,-0.04,0.14,0.03,0.85,21.57,2489.5,good
3.7900925,1.47,0.08,10.48,0.04,0.15,0.17,0.03,1.03,21.18,2470.5,good
3.7900925,1.28,0.4,8.71,0.06,0.05,0.15,0.01,0.94,20.78,2465.5,good
3.7900925,0.9,0.12,8.51,0.03,0.05,0.15,0.01,0.94,21.57,2465.5,good
3.7900925,1.25,0.94,10.08,-0.01,-0.13,0.12,0.02,0.76,20.78,2449,good
3.7900925,1.48,0.46,10.75,-0.01,0.01,0.14,0.02,0.9,20.39,2449,good
3.7900925,1.78,0.14,10.82,0.14,0.11,0.17,0.02,1,21.57,2447,good
3.7900925,1.82,0.12,11.08,0.13,0.05,0.17,-0.02,0.93,20.78,2447,good
3.7900925,1.04,-0.25,9.06,0.09,-0.01,0.15,0,0.87,20,2439,good
3.7900925,0.9,0.84,9.2,-0.03,-0.02,0.09,0.04,0.87,20.39,2428.5,good
3.7900925,1.37,0.22,9.63,-0.01,-0.02,0.09,0.04,0.87,20.39,2428.5,good
3.7900925,1.5,-0.03,10.05,0.01,0.05,0.14,0.03,0.94,21.18,2418.5,good
3.7900925,1.24,0.02,10.15,0.06,0.02,0.14,0.04,0.91,20,2418.5,good
3.7900925,1.1,0.44,9.29,-0.03,-0.03,0.15,-0.01,0.86,20,2415,good
3.7900925,1.74,0.15,10.71,0.05,0.04,0.16,0.01,0.93,20.78,2415,good
3.7900925,1.76,-0.57,9.23,0.05,0.09,0.17,0.03,0.97,20,2405.5,good
3.7900925,1.81,-0.31,10.2,-0.01,-0.42,0.06,-0.07,0.48,20.78,2395,good
3.7900925,2.12,-1.34,6.83,0,0.29,0.06,0.12,1.19,20,2395,good
3.7900925,1.52,-0.48,13.87,0.02,0.29,0.06,0.12,1.19,20,2382,good
3.7900925,1.52,0.21,9.88,0.04,0.23,0.17,-0.01,1.11,20,2382,good
3.7900925,2.51,-0.6,11.53,0.13,0.23,0.18,-0.06,1.11,20,2376.5,good
3.7900925,1.12,-0.87,8.9,0.07,0.02,0.13,-0.08,0.91,20,2361.5,good
3.7900925,1.56,-1.06,8.56,-0.09,-0.02,0.15,-0.1,0.86,20,2361.5,good
3.7900925,1.94,-0.36,9.51,0.02,0.04,0.16,-0.1,0.92,20,2342,good
3.7900925,1.96,-0.48,10.38,0.04,0.14,0.17,-0.03,1.02,20,2336,good
3.7900925,1.71,-0.84,9.32,-0.01,0.01,0.2,-0.02,0.89,20,2336,good
3.7900925,1.51,-0.36,10.04,-0.02,-0.1,0.18,-0.07,0.78,20,2328,good
3.7900925,1.65,-0.93,9.55,-0.01,-0.1,0.18,-0.07,0.78,20,2328,good
3.7900925,1.5,-0.33,10.11,0.06,0.02,0.17,-0.09,0.9,20,2314.5,good
3.7900925,1.8,-0.15,9.64,0.08,0.07,0.19,-0.11,0.95,19.61,2314.5,good
3.7900925,1.69,0.02,9.46,0.08,0.1,0.2,-0.12,0.97,20,2306,good
3.7900925,2.01,0.02,9.51,0.01,-0.06,0.16,-0.09,0.82,20,2304,good
3.7900925,1.64,0.11,9.86,0.08,0.04,0.15,0.03,0.93,20,2304,good
3.7900925,0.95,0.01,9.26,0.09,0.11,0.18,0.01,1,20.39,2296,good
3.7900925,2.31,-2.25,9.13,0.01,-0.1,0.16,-0.21,0.76,20.39,2281,good
3.7900925,0.98,-0.84,9.6,0.01,-0.09,0.06,-0.13,0.8,20.39,2281,good
3.7900925,1.18,-2.15,10.62,0.06,0.05,0.09,-0.19,0.93,20.39,2245,good
3.7900925,0.39,-2.66,9.76,0.07,0.05,0.09,-0.19,0.93,20.39,2245,good
3.7900925,0.47,-1.39,10.42,0.09,0.1,0.05,-0.17,0.99,20.39,2213,good
3.7900925,0.33,-1.69,10.35,0.11,-0.01,0.11,-0.18,0.86,20.39,2213,good
3.7900925,0.27,-1.84,9.94,0.1,-0.01,0.11,-0.18,0.86,20.39,2158.5,good
3.7900925,-0.2,0.22,11.08,0.15,0.02,0.01,-0.12,0.92,20.39,2116.5,good
3.7900925,0.18,-1.94,10.42,0.08,0.07,0.06,-0.16,0.96,20.78,2116.5,good
3.7900925,0.5,-1.11,10.4,0.08,0.07,0.07,-0.07,0.96,20.78,2073.5,good
3.7900925,1.08,-1.21,11.02,0.09,0.1,0.11,-0.17,0.98,20.78,2073.5,good
3.7900925,0.91,-0.86,11.41,0.08,0.1,0.11,-0.17,0.98,20.78,2031,good
3.7900925,1.04,-1.37,9.76,0.1,0.02,0.18,-0.23,0.88,20.78,1998.5,good
3.7900925,0.29,-1.31,8.14,0.09,0.14,0.11,0,1.03,20.78,1998.5,good
3.7900925,1.08,-0.93,9.2,-0.03,-0.01,0.11,-0.25,0.85,20.39,1957.5,good
3.7900925,1.21,-1.85,9.97,0.03,-0.01,0.09,-0.22,0.86,20.78,1957.5,good
3.7900925,1.88,-0.93,10.69,0.09,0.08,0.11,-0.12,0.97,20.78,1931,good
3.7900925,1.25,0.54,9.44,-0.01,0.14,0.08,-0.04,1.04,20.78,1897.5,good
3.7900925,1.67,-0.32,9.36,0.01,0.04,0.17,-0.07,0.92,20.78,1897.5,good
3.7900925,1.52,-0.11,9.63,0.01,0.03,0.16,-0.05,0.91,20.78,1886,good
3.7900925,1.74,-0.14,10.11,0.02,-0.04,0.14,-0.03,0.85,20.78,1886,good
3.7900925,1.16,0.2,10,0.05,-0.04,0.14,-0.03,0.85,20.78,1869,good
3.7900925,1.49,-0.61,9.72,0.06,0.11,0.16,0.02,1,20.39,1869,good
3.7900925,1.37,-0.4,10.32,0.07,0.04,0.15,0.01,0.93,20.39,1861,good
3.7900925,1.66,-0.78,10.19,0.07,0.08,0.15,-0.08,0.97,20,1848,good
3.7900925,1.55,-0.12,10.11,0.05,0,0.16,-0.06,0.88,20.39,1848,good
3.7900925,1.96,-0.18,9.91,0.04,0.03,0.18,-0.06,0.91,20,1825.5,good
3.7900925,1.56,-0.66,8.79,0.03,0.05,0.16,-0.02,0.93,20,1806.5,good
3.7900925,0.99,-0.49,9.04,0.05,0.02,0.07,0,0.92,20,1806.5,good
3.7900925,2.22,1.28,12.75,0.07,0.08,0.18,-0.07,0.96,20,1799,good
3.7900925,2.81,0.57,12.86,0.06,-0.18,0.09,-0.07,0.71,20,1799,good
3.7900925,1.73,-1.28,9.46,0.01,-0.18,0.09,-0.07,0.71,20.78,1789.5,good
3.7900925,1.07,-0.03,8.83,0.04,0.3,0.27,0.09,1.17,20.78,1789.5,good
3.7900925,-0.1,1.14,10.51,0.04,0.05,0.21,0.08,0.92,19.61,1781,good
3.7900925,1.34,-1.17,8.44,0.05,0.13,0.24,0.09,1,20,1781,good
3.7900925,2.16,-0.56,10.08,0.07,0.05,0.06,0.09,0.95,19.22,1787.5,good
3.7900925,1.82,-0.6,9.43,0.05,0.05,0.21,-0.03,0.85,18.82,1763.5,good
3.7900925,1.35,-0.16,9.16,0.04,-0.02,0.21,-0.03,0.85,20,1763.5,good
3.7900925,2.05,0.06,10.26,0.09,0.02,0.24,-0.02,0.89,18.82,1763.5,good
3.7900925,1.57,0.1,10.26,0.03,-0.01,0.2,-0.01,0.87,19.61,1763.5,good
3.7900925,1.92,-0.41,10.44,0.04,0.08,0.26,-0.06,0.95,20,1757.5,good
3.7900925,2,-0.59,9.45,0.04,-0.03,0.2,-0.03,0.85,18.82,1753.5,good
3.7900925,2.43,0,10.82,0.09,0.03,0.18,0.04,0.92,20,1753.5,good
3.7900925,1.81,-0.68,8.98,0.06,-0.03,0.2,-0.02,0.85,18.82,1736.5,good
3.7900925,2,-0.74,9.09,0.04,-0.07,0.13,-0.1,0.81,19.22,1736.5,good
3.7900925,2.02,-1.21,9.89,0.06,-0.07,0.13,-0.1,0.81,19.22,1725.5,good
3.7900925,1.58,-1.18,9.84,0.03,0.03,0.12,-0.07,0.92,18.82,1716.5,good
3.7900925,1.99,-0.78,10.18,0.06,0.01,0.11,-0.08,0.9,18.82,1716.5,good
3.7900925,1.79,-0.01,10.47,0.1,0.05,0.16,-0.07,0.94,18.82,1700.5,good
3.7900925,1.37,-0.76,9.91,0.04,0.09,0.2,-0.04,0.97,18.82,1700.5,good
3.7900925,0.94,0,8.56,0.05,0.12,0.16,0.07,1,18.82,1678,good
3.7900925,2.02,0.15,10.75,0.13,-0.27,0.18,-0.14,0.6,18.82,1664,good
3.7900925,1.85,-0.68,10.29,0.03,0.03,0.17,-0.02,0.91,18.82,1664,good
3.7900925,1.94,-1.05,10.32,0.03,0.03,0.17,-0.02,0.91,18.82,1660.5,good
3.7900925,1.85,-1.09,9.74,0.05,0.06,0.14,-0.03,0.95,18.82,1660.5,good
3.7900925,1.33,-0.65,9.67,0.02,0.05,0.12,-0.04,0.95,18.82,1622,good
3.7900925,1.07,-0.77,10.26,0.04,0.04,0.1,-0.11,0.93,18.43,1622,good
3.7900925,0.88,-1.16,10.05,0.04,-0.07,0.08,-0.12,0.82,18.43,1611,good
3.7900925,1.06,-1.01,10.45,0.09,0.04,0.09,-0.09,0.93,18.43,1569.5,good
3.7900925,0.81,-0.99,10.45,0.08,0.1,0.12,-0.17,0.98,18.04,1569.5,good
3.7900925,0.56,-0.91,10.59,0.08,0.07,0.04,-0.04,0.97,18.04,1529.5,good
3.7900925,0.34,-0.19,9.71,0.01,0.01,0.03,-0.04,0.9,17.65,1529.5,good
3.7900925,0.6,-1.05,9.93,0.05,0.01,0.05,-0.1,0.89,17.65,1500,good
3.7900925,0.49,-0.9,9.99,0.05,0,0.05,-0.1,0.89,17.65,1440.5,good
3.7900925,0.5,-1.11,10.65,0.06,0.08,0.05,-0.12,0.97,18.04,1440.5,good
3.7900925,0.32,-0.9,10.37,0.08,-0.02,0.02,-0.11,0.87,17.65,1419,good
3.7900925,0.69,-0.82,10.6,0.07,0.08,0.07,-0.15,0.97,18.04,1419,good
3.7900925,1.94,-0.31,9.7,0.07,0.04,0.04,-0.07,0.93,18.04,1368.5,good
3.7900925,2.1,-0.49,9.64,0.03,0,0.19,-0.03,0.88,18.82,1346,good
3.7900925,2.01,-0.33,9.79,0.03,0.03,0.21,-0.02,0.91,18.82,1346,good
3.7900925,2.06,-0.1,9.85,0.03,-0.01,0.18,-0.01,0.88,18.82,1343.5,good
3.7900925,2.21,-0.22,10.84,0.15,-0.01,0.18,-0.01,0.88,18.82,1343.5,good
3.7900925,2.01,-0.82,8.09,-0.13,-0.02,0.17,0.01,0.87,18.82,1330,good
3.7900925,1.96,-0.83,9.81,0.05,0,0.17,-0.02,0.89,18.82,1330,good
3.7900925,3.29,-1.24,10.79,0.04,0,0.24,-0.06,0.87,18.82,1323,good
3.7900925,1.08,-0.44,6.6,-0.3,0.09,0.12,0.01,0.98,18.82,1324.5,good
3.7900925,1.26,0.55,8.62,0.05,-0.05,0.13,0,0.84,18.82,1324.5,good
3.7900925,3,-2.37,5.93,0.05,0.46,0.06,0.09,1.36,18.82,1308,good
3.7900925,1.68,0.01,6.71,0.05,0.46,0.06,0.09,1.36,18.43,1308,good
3.7900925,1.23,-0.29,10.43,0.07,-0.08,0.08,-0.01,0.82,18.43,1298.5,good
3.7900925,1.78,-0.21,9.76,0.05,-0.05,0.21,-0.03,0.83,18.43,1298.5,good
3.7900925,2.12,-0.45,9.32,0.04,-0.02,0.17,-0.05,0.86,18.43,1307.5,good
3.7900925,1.97,-0.09,10.54,0.05,0.05,0.2,-0.09,0.93,18.43,1284,good
3.7900925,2.21,-0.08,9.62,0.03,-0.01,0.24,-0.08,0.86,25.1,1284,good
3.7900925,1.77,0.95,9.93,0.04,-0.07,0.22,-0.12,0.8,47.06,1357,good
3.7900925,2.22,0.08,10.33,0.04,-0.07,0.22,-0.12,0.8,58.04,1357,good
3.7900925,2.62,-0.65,9.94,0.04,0.1,0.4,-0.03,0.93,63.53,1289,good
3.7900925,2.92,0.07,9.43,0.04,0.1,0.4,-0.03,0.93,67.06,1302,good
3.7900925,3.09,0.32,8.46,0.04,0.06,0.27,0.04,0.93,69.41,1302,good
3.7900925,3.07,0.04,10.38,0.12,0,0.22,0.05,0.87,71.76,1299.5,good
3.7900925,2.94,-0.11,9.39,0.04,-0.16,0.25,-0.04,0.7,72.94,1299.5,good
3.7900925,2.63,0.15,11.05,0.04,-0.07,0.19,0.1,0.8,71.76,1325.5,good
3.7900925,2.63,0.24,10.26,0.04,-0.07,0.19,0.1,0.8,56.86,1325.5,good
3.7900925,2.23,0.77,10.41,0.05,-0.04,0.22,0.02,0.84,45.1,1301.5,good
3.7900925,2.64,-0.53,9.5,0.04,0.01,0.29,-0.11,0.87,67.45,1301.5,good
3.7900925,2.19,0.8,10.78,0.04,0.14,0.3,0.06,1,70.2,1330.5,good
3.7900925,3.04,0.4,10.46,0.13,0.01,0.27,0,0.88,73.73,1330.5,good
3.7900925,3,-0.12,10.81,0.03,0.01,0.27,0,0.88,76.47,1349.5,good
3.7900925,2.23,2.36,10.52,0.01,0.21,0.27,0.1,1.08,77.65,1351.5,good
3.7900925,4.75,-1.85,10.04,0.17,-0.27,0.01,0.25,0.59,78.43,1351.5,good
3.7900925,0.99,1.92,7.44,0.05,-0.27,0.01,0.25,0.59,50.98,1340,good
3.7900925,1.89,0.15,7.3,0.06,0.26,0.37,-0.29,1.07,33.33,1340,good
3.7900925,1.6,0.76,8.58,-0.09,0.1,0.34,-0.2,0.93,26.27,1377,good
3.7900925,2.13,-0.4,10.96,0.06,0.23,0.17,0.05,1.12,23.14,1160.5,good
3.7900925,2.33,-0.73,8.98,0.03,0.04,0.13,0.03,0.93,23.14,1160.5,good
3.7900925,2.07,0.47,10.17,0.08,0.04,0.27,-0.12,0.89,21.96,1122.5,good
3.7900925,2.02,0.25,9.27,0.04,-0.07,0.2,-0.01,0.81,20.78,1122.5,good
3.7900925,2.05,0.54,9.35,0.05,-0.07,0.25,-0.14,0.93,20.78,1028.5,good
3.7900925,2.01,0.07,10.13,0.04,0.07,0.25,-0.14,0.93,22.75,997,good
3.7900925,2.22,-0.23,9.39,0,0.03,0.27,-0.1,0.88,23.92,997,good
3.7900925,2.18,-0.26,9.67,0.02,-0.14,0.2,-0.02,0.73,24.31,957.5,good
3.7900925,1.2,-0.3,10.33,0.03,0.05,0.14,-0.08,0.94,24.31,957.5,good
3.7900925,2.01,0.03,9.32,-0.01,0.13,0.14,-0.06,1.02,23.53,1031,good
3.7900925,1.51,0.38,9.87,0.05,0.04,0.21,-0.01,0.92,24.31,1699,good
3.7900925,1.86,0.48,10.1,0.05,0.02,0.17,0.04,0.9,61.57,1699,good
3.7900925,2.54,0.89,9.43,0.02,0.05,0.26,0.1,0.91,70.98,1640,good
3.7900925,2.07,0.63,9.03,0.03,0.05,0.26,0.1,0.91,78.04,1640,good
3.7900925,2.67,1.34,9.84,0.04,0.06,0.26,0.12,0.93,81.57,1630.5,good
3.7900925,2.59,0.8,10.36,0.04,0.04,0.21,0.12,0.91,85.49,1630.5,good
3.7900925,2.98,0.43,10.06,0.09,0.02,0.28,0.09,0.87,87.06,1631.5,good
3.7900925,2.96,0.29,9.77,0.03,0.05,0.3,0.08,0.9,88.24,1627,good
3.7900925,2.97,0.24,9.06,0.03,-0.02,0.3,0.05,0.83,89.02,1627,good
3.7900925,2.79,0.37,8.99,0.02,-0.02,0.3,0.05,0.83,92.16,1662,good
3.7900925,3.23,0.51,9.68,0.02,-0.01,0.3,0.07,0.84,93.73,1662,good
3.7900925,3.25,0.16,9.25,0.02,-0.04,0.3,0.04,0.81,93.73,1689.5,good
3.7900925,2.83,0.54,9.6,0.03,0.02,0.31,0.05,0.87,94.12,1690,good
3.7900925,3.24,0.15,9.46,0.04,0.09,0.34,0.03,0.93,94.12,1690,good
3.7900925,3.04,0.4,9.43,0.04,0.03,0.27,0.07,0.89,93.73,1747.5,good
3.7900925,3.14,0.61,10.26,0.04,0.05,0.3,0.04,0.91,93.73,1747.5,good
3.7900925,3.37,0.35,9.73,0.07,0.02,0.32,0.01,0.86,93.73,1733.5,good
3.7900925,3.32,0.55,9.68,0.05,0,0.3,0.02,0.86,93.73,1733.5,good
3.7900925,3.27,0.51,9.84,0.05,0,0.32,0.04,0.84,93.33,1794.5,good
3.7900925,2.9,0.37,8.97,0.05,0,0.32,0.04,0.84,93.73,1785.5,good
3.7900925,3.02,0.06,9.25,0.01,0,0.3,0.01,0.85,93.33,1785.5,good
3.7900925,3.17,-0.08,9.41,0.02,0,0.29,0.01,0.85,93.33,1830,good
3.7900925,3.15,0.54,9.32,0.02,0,0.31,0.01,0.85,92.94,1830,good
3.7900925,3.32,-0.07,9.49,0.04,0.01,0.33,-0.04,0.85,93.33,1841.5,good
3.7900925,3.62,-0.42,8.94,0.03,0.01,0.34,-0.05,0.85,93.33,1881,good
3.7900925,3.41,-0.14,9.61,0.04,0.01,0.35,-0.05,0.84,93.33,1881,good
3.7900925,3.64,-0.79,9.45,0.04,0.01,0.35,-0.05,0.84,93.33,1903.5,good
3.7900925,3.2,-0.48,9.81,0.04,-0.05,0.31,-0.03,0.79,92.94,1903.5,good
3.7900925,2.86,-0.99,9.43,0.05,0.12,0.36,-0.05,0.95,76.08,1919,good
3.7900925,2.76,-0.93,10.04,0.05,0.09,0.29,-0.07,0.94,32.16,1919,good
3.7900925,2.47,-0.71,9.51,0.02,0.05,0.27,-0.06,0.91,23.14,1910,good
3.7900925,3.32,-0.72,10.15,0.05,0.04,0.31,-0.04,0.89,65.1,1939.5,good
3.7900925,3.45,-0.43,10.35,0.05,-0.01,0.35,-0.08,0.83,71.37,1939.5,good
3.7900925,3.22,-0.09,9.88,0.05,-0.01,0.35,-0.08,0.83,73.73,1935.5,good
3.7900925,2.46,0.13,8.49,-0.01,-0.07,0.32,-0.06,0.77,76.47,1935.5,good
3.7900925,2.57,0.35,9.23,0,0.12,0.28,0,0.99,75.69,1949,good
3.7900925,2.25,0.49,10.48,0.03,0.08,0.27,0.04,0.95,47.45,1949,good
3.7900925,1.94,0.03,9.23,0.04,0.08,0.22,-0.01,0.96,26.27,1930.5,good
3.7900925,2.27,-0.25,9.87,0.02,0,0.21,0.01,0.88,19.61,1953.5,good
3.7900925,1.47,0.66,9.6,0.01,-0.08,0.17,0,0.81,38.04,1953.5,good
3.7900925,3.03,0.89,9.66,0.06,-0.02,0.23,0,0.85,69.8,1986.5,good
3.7900925,2.26,0.13,10.18,0.05,-0.02,0.23,0,0.85,76.86,1986.5,good
3.7900925,2.85,-0.49,9.51,0.05,0.01,0.29,-0.01,0.86,77.65,2000,good
3.7900925,2.26,0.14,9.25,0.04,0.01,0.27,0.02,0.87,74.12,1972,good
3.7900925,2.74,0.18,10.16,0.05,0.06,0.29,0.01,0.92,77.65,1972,good
3.7900925,2.48,-0.2,9.13,0.05,0.03,0.29,0.08,0.88,82.35,1988.5,good
3.7900925,2.84,0.11,9.34,0.04,0.09,0.35,0.02,0.93,85.88,1988.5,good
3.7900925,3.35,0.79,10.47,0.04,0.09,0.35,0.02,0.93,87.84,2022,good
3.7900925,3.48,0.33,10.39,0.14,0.06,0.36,-0.05,0.9,90.2,2022,good
3.7900925,2.81,0.77,9.97,0.04,-0.1,0.32,0,0.74,91.37,2038,good
3.7900925,2.97,0.58,9.87,0.07,0.09,0.28,0.11,0.94,91.76,2036.5,good
3.7900925,2.87,0.59,9.71,0.02,-0.01,0.3,0.01,0.85,92.16,2036.5,good
3.7900925,2.97,1.33,9.67,0.02,0.01,0.29,0.04,0.87,91.76,2076.5,good
3.7900925,2.92,0.7,8.75,0.03,0.05,0.33,0,0.9,91.76,2076.5,good
3.7900925,3.09,0.22,9.57,0.04,0.05,0.33,0,0.9,91.76,2103.5,good
3.7900925,2.91,0.14,8.58,0.04,0.05,0.34,-0.01,0.89,92.16,2103.5,good
3.7900925,2.78,0.45,9.17,0.04,0.05,0.34,-0.01,0.89,92.16,2102,good
3.7900925,2.76,1.13,9.88,0.07,0.02,0.32,0.05,0.86,92.16,2154,good
3.7900925,2.94,1.06,9.5,0.05,-0.01,0.25,0.09,0.86,92.16,2154,good
3.7900925,2.96,0.92,9.94,0.05,0.06,0.26,0.14,0.92,92.55,2153,good
3.7900925,2.79,0.69,10.07,0.05,-0.05,0.29,0.08,0.8,92.16,2153,good
3.7900925,2.81,0.83,9.92,0.07,-0.07,0.3,0.06,0.78,92.94,2188.5,good
3.7900925,2.72,1.24,10.06,0.01,0.01,0.28,0.08,0.86,92.55,2210,good
3.7900925,3.01,0.78,10.24,0.02,0.06,0.3,0.06,0.91,92.55,2210,good
3.7900925,3.18,0.61,9.14,0.03,0.06,0.3,0.06,0.91,92.55,2219,good
3.7900925,3.37,-0.45,9.74,0.03,-0.01,0.32,0.06,0.83,81.96,2219,good
3.7900925,2.4,0.12,10.41,0.04,-0.08,0.29,-0.01,0.78,43.53,2265.5,good
3.7900925,1.69,0.32,9.88,0.04,0.02,0.27,-0.06,0.89,20.39,2265.5,good
3.7900925,2.45,-0.35,10.54,0.03,0.12,0.27,-0.01,0.98,18.43,2253,good
3.7900925,2.33,-0.82,10.23,0.04,-0.03,0.2,0.04,0.85,16.86,2252,good
3.7900925,2.22,-0.49,10.4,0.04,0.03,0.24,0,0.9,15.69,2252,good
3.7900925,2.15,-0.58,9.95,0.06,0.03,0.23,-0.04,1,15.29,2221.5,good
3.7900925,1.86,-0.96,10.14,0.08,0.13,0.23,-0.04,1,14.9,2221.5,good
3.7900925,1.47,-1.9,9.43,0.07,0.11,0.17,-0.06,0.99,14.9,2232,good
3.7900925,1.24,-0.98,10.14,0.07,0.01,0.11,0.01,0.9,16.47,2232,good
3.7900925,1.59,-1.55,9.54,0.05,-0.01,0.16,-0.1,0.88,18.04,2216.5,good
3.7900925,0.93,-0.76,10.28,0.06,0.11,0.12,-0.07,1,18.82,2169.5,good
3.7900925,1.45,-0.91,10.67,0.06,0.04,0.11,-0.08,0.93,18.82,2169.5,good
3.7900925,1.4,-0.7,9.74,0.05,0.04,0.13,-0.07,0.93,19.22,2148.5,good
3.7900925,1.37,-0.67,9.62,0.06,0.04,0.13,-0.07,0.93,19.22,2148.5,good
3.7900925,2.02,-0.74,9.88,0.06,0.11,0.15,-0.07,1,19.61,2122,good
3.7900925,1.63,-0.43,9.24,-0.02,-0.03,0.2,-0.03,0.85,19.61,2122,good
3.7900925,1.92,-0.35,9.86,0.04,0.07,0.22,-0.04,0.95,19.61,2101,good
3.7900925,1.86,-0.21,11.02,0.04,0.08,0.2,-0.02,0.96,19.61,2086.5,good
3.7900925,1.95,-0.03,9.17,0.04,0.01,0.24,-0.09,0.87,20.39,2086.5,good
3.7900925,1.53,-0.52,9.09,-0.04,0.07,0.17,0.01,0.95,19.61,2073,good
3.7900925,2.11,-0.83,8.94,0.02,0.09,0.19,0.01,0.98,20,2073,good
3.7900925,1.62,0.55,10.33,0.03,0.06,0.14,0.07,0.95,19.22,2061.5,good
3.7900925,1.31,0.27,9.74,0.02,0.06,0.14,0.07,0.95,19.22,2045,good
3.7900925,1.62,0.87,10.5,0.07,0.04,0.2,-0.05,0.92,18.43,2045,good
3.7900925,1.36,0.91,9.77,0.08,0.13,0.21,0.05,1.01,17.25,2017,good
3.7900925,1.52,-1.01,8.71,0.06,0.07,0.21,-0.04,0.95,19.61,2017,good
3.7900925,1.22,0.6,9.51,0,0.03,0.2,0.04,0.91,41.57,2024.5,good
3.7900925,2.26,-0.11,9.36,0.01,0.01,0.23,0.03,0.88,68.24,2024.5,good
